row_idx	col_idx	intensity
8	4	2.57185317712241
8	5	2.21605762150221
8	6	2.28540010996151
8	7	2.95112211152478
8	8	3.32314288613761
8	9	2.76761321770674
8	10	2.54668430360875
8	11	2.74502825472723
8	12	2.59816925633327
8	13	2.42441860465116
8	14	2.56567338897719
8	15	2.52273224841276
8	16	2.35375895428698
8	17	2.92543968293287
8	18	2.56103323111584
8	19	2.00759610614019
8	20	2.13059376632422
9	1	2.04247301101727
9	2	2.05347068923228
9	3	2.22693438136958
9	4	2.84108362471815
9	5	2.26788177892435
9	6	2.36690118660086
9	7	2.67962310612538
9	8	3.14280700984800
9	9	2.54561907051055
9	10	2.77841859492612
9	11	2.47172112730308
9	12	2.71466933116843
9	13	2.05285654482561
9	14	2.24824956475664
9	15	2.09702686639948
9	16	1.96905527094537
9	17	2.80276723609663
9	18	2.57805353937407
9	19	2.20409766315376
9	20	2.04912944371696
10	1	1.92323448557326
10	2	1.78375468614823
10	3	1.99707371340126
10	4	1.84084988452656
10	5	1.64247797222260
10	6	2.06404464957936
10	7	1.62597979539096
10	8	2.01623789764869
10	9	2.13528426342791
10	10	1.73542664773725
10	11	2.01552124988375
10	12	1.78642004729519
10	13	1.58089201387553
10	14	2.09776842509542
10	15	1.81492854078707
10	16	1.60775898430909
10	17	2.07520280371541
10	18	1.98450188256843
10	19	1.69531395348837
10	20	1.50535161542956
11	1	2.47395237349586
11	2	2.23874060230823
11	3	2.38561945727789
11	4	2.70272491207310
11	5	2.16411848462921
11	6	2.39052619476488
11	7	3.12766366828611
11	8	2.98959585683899
11	9	2.61141688944803
11	10	2.53343526259114
11	11	2.62416515678521
11	12	2.70557072817611
11	13	2.43137573124221
11	14	2.40302957777379
11	15	2.22027331055745
11	16	2.20633983430817
11	17	2.95064005985508
11	18	2.43912613898342
11	19	2.08065471219690
11	20	2.27139636787315
12	1	1.78447154931170
12	2	1.61364358390933
12	3	1.76256106657348
12	4	1.67811526915403
12	5	1.62923165197434
12	6	1.94647317883185
12	7	1.55444725574153
12	8	1.47970032448941
12	9	1.70079571688197
12	10	1.40419798839646
12	11	1.76438076045402
12	12	1.63490945487572
12	13	1.59811340119615
12	14	1.88881484666093
12	15	1.62204089117081
12	16	1.67754368810615
12	17	1.75454636692092
12	18	1.89187411556016
12	19	1.61127395245496
12	20	1.57446182513608
13	1	2.47715716287034
13	2	2.25197420957677
13	3	2.40373148259996
13	4	2.76894941634241
13	5	2.30440392940393
13	6	2.36655375979870
13	7	2.98684880193807
13	8	2.73630172593055
13	9	2.60454269856816
13	10	2.68425922318750
13	11	2.57439454730024
13	12	2.63382737576286
13	13	2.32382201628565
13	14	2.49507332240851
13	15	2.35537228517835
13	16	2.31746001007010
13	17	2.81259097144413
13	18	2.40257855760891
13	19	2.09060762859843
